"Player","Pos","Team","Opp","DK Proj","FD Proj","FFPC Proj","Standard Proj","Half PPR Proj","Full PPR Proj","DK Ceiling","FD Ceiling","Slate"
"DK Metcalf","WR","PIT","HOU","12.6","10.4","12.2","7.8","10.0","12.2","23.6","20.3","Monday"
"Colston Loveland","TE","CHI","GB","12.2","10.0","14.2","7.4","9.7","11.9","22.9","19.4","Saturday"
"Rico Dowdle","RB","CAR","LA","12.1","10.6","11.9","9.0","10.4","11.8","21.7","19.7","Saturday"
"Tetairoa McMillan","WR","CAR","LA","12.0","10.0","11.6","7.6","9.6","11.6","22.8","19.7","Saturday"
"Woody Marks","RB","HOU","@PIT","12.0","11.0","11.6","9.8","10.6","11.5","22.3","21.0","Monday"
"Rhamondre Stevenson","RB","NE","LAC","11.6","10.2","11.4","8.7","10.1","11.4","21.7","19.7","Sunday"
"TreVeyon Henderson","RB","NE","LAC","11.6","10.7","11.2","9.6","10.4","11.1","22.3","21.1","Sunday"
"Jaylen Warren","RB","PIT","HOU","11.4","10.2","11.1","9.0","10.0","11.0","21.2","19.7","Monday"
"Jauan Jennings","WR","SF","@PHI","11.0","8.9","10.7","6.5","8.6","10.7","21.0","17.7","Other"
"Omarion Hampton","RB","LAC","@NE","10.7","9.8","10.5","8.7","9.5","10.4","20.8","19.5","Sunday"
"Dallas Goedert","TE","PHI","SF","10.6","8.4","12.5","6.2","8.3","10.4","19.9","16.6","Other"
"Khalil Shakir","WR","BUF","@JAX","10.4","8.1","10.2","5.6","7.9","10.2","19.4","15.9","Main"
"Ladd McConkey","WR","LAC","@NE","10.4","8.4","10.1","6.3","8.2","10.1","20.2","17.2","Sunday"
"Brian Thomas","WR","JAX","BUF","10.3","8.7","10.1","6.9","8.5","10.1","21.0","18.5","Main"
"Hunter Henry","TE","NE","LAC","10.3","8.5","12.1","6.5","8.4","10.2","20.1","17.2","Sunday"
"Dalton Kincaid","TE","BUF","@JAX","10.2","8.3","12.0","6.2","8.1","10.0","19.5","16.4","Main"
"Dalton Schultz","TE","HOU","@PIT","10.2","8.0","12.3","5.7","7.9","10.1","18.9","15.5","Monday"
"Luther Burden","WR","CHI","GB","9.8","8.0","9.6","5.9","7.8","9.6","19.3","16.4","Saturday"
"Brenton Strange","TE","JAX","BUF","9.8","7.9","11.6","5.9","7.8","9.7","19.0","16.0","Main"
"Jayden Reed","WR","GB","@CHI","9.5","7.7","9.3","5.8","7.5","9.3","18.7","16.0","Saturday"
"Harrison Mevis","K","LA","@CAR","9.4","9.4","10.1","9.4","9.4","9.4","15.8","15.8","Saturday"
"Quentin Johnston","WR","LAC","@NE","9.3","7.7","9.1","5.9","7.5","9.1","19.0","16.4","Sunday"
"Romeo Doubs","WR","GB","@CHI","8.9","7.4","8.8","5.7","7.3","8.8","18.2","15.7","Saturday"
"Keenan Allen","WR","LAC","@NE","8.9","7.0","8.9","5.1","7.0","8.8","17.3","14.4","Sunday"
"Kyle Monangai","RB","CHI","GB","8.8","8.1","8.7","7.3","8.0","8.6","17.6","16.5","Saturday"
"Matt Prater","K","BUF","@JAX","8.8","8.8","9.5","8.8","8.8","8.8","15.2","15.2","Main"
"Cam Little","K","JAX","BUF","8.8","8.8","9.4","8.8","8.8","8.8","15.0","15.0","Main"
"Jake Elliott","K","PHI","SF","8.8","8.8","9.4","8.8","8.8","8.8","15.2","15.2","Other"
"Jalen Coker","WR","CAR","LA","8.7","7.0","8.6","5.1","6.8","8.6","17.3","14.5","Saturday"
"Ka'imi Fairbairn","K","HOU","@PIT","8.7","8.7","9.4","8.7","8.7","8.7","15.4","15.4","Monday"
"Andy Borregales","K","NE","LAC","8.7","8.7","9.4","8.7","8.7","8.7","15.1","15.1","Sunday"
"Brandon McManus","K","GB","@CHI","8.4","8.4","9.0","8.4","8.4","8.4","14.5","14.5","Saturday"
"LA DST","DST","LA","@CAR","8.4","8.4","9.4","8.4","8.4","8.4","16.0","16.0","Saturday"
"Cameron Dicker","K","LAC","@NE","8.3","8.3","9.0","8.3","8.3","8.3","14.6","14.6","Sunday"
"Oronde Gadsden","TE","LAC","@NE","8.1","6.5","9.6","4.9","6.4","8.0","16.0","13.5","Sunday"
