"Player","Team","Position","DK Projection","FD Projection","Std","Half","Full","Slate","DK Ceiling","FD Ceiling"
"Zavier Scott","MIN","RB","5.4","4.7","3.9","4.6","5.4","Other","11.6","10.4"
"AJ Barner","SEA","TE","5.4","4.3","3.3","4.3","5.4","Main","11.3","9.4"
"Noah Fant","CIN","TE","5.3","4.1","2.9","4.1","5.3","Main","10.8","8.7"
"Tyjae Spears","TEN","RB","5.3","4.5","3.8","4.5","5.2","Main","11.0","9.9"
"Chris Rodriguez","WAS","RB","5.2","4.9","4.7","4.9","5.1","Main","11.8","11.5"
"Jeremy McNichols","WAS","RB","5.2","4.3","3.3","4.3","5.2","Main","10.9","9.4"
"Elijah Arroyo","SEA","TE","5.0","4.0","3.0","4.0","5.0","Main","11.0","9.2"
"Mike Gesicki","CIN","TE","4.8","3.7","2.7","3.7","4.8","Main","10.3","8.4"
"Bhayshul Tuten","JAX","RB","4.8","4.4","4.0","4.3","4.7","Monday","11.0","10.4"
"Brashard Smith","KC","RB","4.8","4.0","3.2","4.0","4.8","Monday","10.4","9.1"
"Xavier Hutchinson","HOU","WR","4.7","3.9","3.0","3.8","4.7","Main","10.8","9.2"
"Tyler Lockett","TEN","WR","4.7","3.7","2.8","3.7","4.7","Main","10.5","8.8"
"Jerome Ford","CLE","RB","4.6","3.5","2.5","3.5","4.5","Other","9.5","7.7"
"Ashton Dulin","IND","WR","4.6","3.9","3.2","3.9","4.6","Main","10.9","9.6"
"Ian Thomas","LV","TE","4.6","3.5","2.5","3.5","4.6","Main","10.0","8.2"
"Jalen Nailor","MIN","WR","4.5","3.6","2.8","3.6","4.5","Other","10.5","9.0"
"Austin Hooper","NE","TE","4.5","3.6","2.6","3.6","4.5","Sunday","10.1","8.4"
"Josh Reynolds","NYJ","WR","4.5","3.8","3.0","3.7","4.5","Main","10.7","9.3"
"LV DST","LV","DST","4.5","4.5","4.5","4.5","4.5","Main","11.2","11.2"
"Ty Johnson","BUF","RB","4.4","3.8","3.3","3.8","4.3","Sunday","10.2","9.3"
"Mack Hollins","NE","WR","4.4","3.6","2.7","3.6","4.4","Sunday","10.4","9.0"
"SF DST","SF","DST","4.4","4.4","4.4","4.4","4.4","Thursday","10.9","10.9"
"Jordan Whittington","LA","WR","4.3","3.6","2.9","3.6","4.3","Thursday","11.0","9.8"
"Chimere Dike","TEN","WR","4.3","3.5","2.8","3.5","4.3","Main","9.2","7.8"
"Noah Gray","KC","TE","4.2","3.3","2.4","3.3","4.1","Monday","9.4","7.9"
"Taysom Hill","NO","TE","4.2","3.7","3.3","3.7","4.2","Main","9.1","8.3"
"Brian Robinson","SF","RB","4.2","3.9","3.6","3.9","4.2","Thursday","10.6","10.1"
"Curtis Samuel","BUF","WR","4.1","3.4","2.7","3.4","4.1","Sunday","9.9","8.7"
"Parker Washington","JAX","WR","4.1","3.3","2.5","3.3","4.0","Monday","9.7","8.2"
"Devin Singletary","NYG","RB","4.1","3.7","3.3","3.7","4.0","Main","9.2","8.5"
"Gunnar Helm","TEN","TE","4.1","3.2","2.3","3.2","4.1","Main","9.1","7.4"
"Andrei Iosivas","CIN","WR","4.0","3.2","2.5","3.2","4.0","Main","9.5","8.1"
"Adonai Mitchell","IND","WR","4.0","3.4","2.7","3.3","4.0","Main","10.0","8.8"
"Kalif Raymond","DET","WR","3.9","3.2","2.6","3.2","3.9","Main","9.5","8.3"
"Davis Allen","LA","TE","3.9","3.1","2.4","3.1","3.9","Thursday","9.8","8.5"
"Tyquan Thornton","KC","WR","3.8","3.3","2.7","3.2","3.8","Monday","10.0","9.0"
"Raheem Mostert","LV","RB","3.8","3.3","2.9","3.3","3.8","Main","8.8","8.0"
"Isaac TeSlaa","DET","WR","3.7","3.1","2.4","3.1","3.7","Main","9.5","8.3"
"Colby Parkinson","LA","TE","3.7","3.0","2.2","2.9","3.7","Thursday","9.3","7.9"
"Antonio Gibson","NE","RB","3.6","3.4","3.2","3.4","3.6","Sunday","8.7","8.3"
"Bam Knight","ARI","RB","3.5","3.2","2.9","3.2","3.5","Main","8.6","8.1"
"Dawson Knox","BUF","TE","3.4","2.8","2.1","2.8","3.4","Sunday","8.7","7.5"
"Demario Douglas","NE","WR","3.4","2.7","2.0","2.7","3.4","Sunday","8.2","6.8"
"Kyle Juszczyk","SF","RB","3.4","2.5","1.7","2.5","3.3","Thursday","8.1","6.4"
"Luke Schoonmaker","DAL","TE","3.3","2.6","1.9","2.6","3.2","Main","8.0","6.7"
"Skyy Moore","SF","WR","3.3","2.7","2.0","2.7","3.3","Thursday","8.5","7.2"
"NE DST","NE","DST","3.3","3.3","3.3","3.3","3.3","Sunday","9.3","9.3"
"Greg Dortch","ARI","WR","3.2","2.6","2.0","2.6","3.2","Main","8.0","6.9"
"Samaje Perine","CIN","RB","3.2","2.6","2.1","2.6","3.2","Main","7.5","6.5"
"Zay Jones","ARI","WR","3.1","2.5","1.9","2.5","3.0","Main","8.1","6.9"
"Elijah Moore","BUF","WR","3.1","2.7","2.3","2.7","3.1","Sunday","8.3","7.5"
"Brycen Tremayne","CAR","WR","3.1","2.5","1.9","2.5","3.1","Main","7.9","6.6"
"Jalin Hyatt","NYG","WR","3.1","2.6","2.1","2.6","3.1","Main","8.3","7.2"
"CIN DST","CIN","DST","3.1","3.1","3.1","3.1","3.1","Main","9.3","9.3"
"Tutu Atwell","LA","WR","3.0","2.5","2.1","2.5","3.0","Thursday","8.6","7.6"
"Jahan Dotson","PHI","WR","3.0","2.4","1.9","2.4","3.0","Main","7.9","6.7"
"Beaux Collins","NYG","WR","2.9","2.3","1.8","2.3","2.9","Main","7.6","6.4"
"DeAndre Hopkins","BAL","WR","2.8","2.3","1.8","2.3","2.8","Main","7.6","6.5"
"Luke Farrell","SF","TE","2.8","2.1","1.5","2.1","2.8","Thursday","6.9","5.6"
"Mitchell Evans","CAR","TE","2.7","2.1","1.5","2.1","2.7","Main","6.8","5.6"
"Jayden Higgins","HOU","WR","2.6","2.1","1.6","2.1","2.6","Main","7.1","6.1"
"Adam Thielen","MIN","WR","2.6","2.0","1.5","2.0","2.6","Other","6.8","5.7"
"DJ Giddens","IND","RB","2.5","2.3","2.2","2.3","2.4","Main","6.8","6.5"
"Ray Davis","BUF","RB","2.4","2.3","2.2","2.3","2.4","Sunday","6.8","6.6"
"Adam Trautman","DEN","TE","2.4","1.9","1.4","1.9","2.4","Main","6.4","5.3"
"Dylan Sampson","CLE","RB","2.3","1.9","1.5","1.9","2.2","Other","5.7","4.8"
