"gameweek","player","pos","team_normalized","salary","ppg","pts_floor","pts_ceiling","sortino","form","matchup_quality","est_own_pct","est_captain_pct","cash_score","cash_rating","gpp_score","gpp_rating","captain_score","captain_rating","value","picked_by","n_games","actual_pts","actual_own_pct","actual_captain_pct","opponent","home_away"
19,"Tosin Adarabioyo","DEF","Chelsea",8.5,0.922727272727273,-0.3,6.3,1.03822046224009,0.922727272727273,59.2,2.4,0,39.5,"Thin Ice",52.1,"Meh",51.1,"Risky Captain",0.11,"0.5",22,0,NA,NA,"Bournemouth","H"
19,"Georginio Rutter","FOR","Brighton",10.7,2.7,0,6.3,1.60763252741318,2.7,50,7.6,0,39.5,"Thin Ice",41.2,"Meh",58.3,"Live Longshot",0.25,"5.6",22,1.4,NA,NA,"West Ham","A"
19,"WIlson Isidor","FOR","Sunderland",6.1,2.11363636363636,0,6,1.5269612570375,2.11363636363636,50,0.6,0,39.3,"Thin Ice",55.8,"Sneaky Good",54.8,"Risky Captain",0.35,"0.5",22,1.4,NA,NA,"Manchester City","H"
19,"Gabriel Gudmundsson","DEF","Leeds United",4.1,1.85,-0.3,6.3,1.11749195207159,1.85,27.7,1,0,39.3,"Thin Ice",57.8,"Sneaky Good",49.3,"Risky Captain",0.45,"0.8",22,6,NA,NA,"Liverpool","A"
19,"Pape Sarr","MID","Tottenham",7.7,2.09545454545455,0,7.3,1.28839745653813,2.09545454545455,47.2,1.6,0,39.2,"Thin Ice",61,"Sneaky Good",71.4,"Top Captain",0.27,"0.9",22,0,NA,NA,"Brentford","A"
19,"Adrien Truffert","DEF","Bournemouth",4.9,2.25454545454545,-0.3,6.3,1.2447567958435,2.25454545454545,25.2,3.3,0,39.1,"Thin Ice",44.1,"Meh",48.9,"Risky Captain",0.46,"4.2",22,1,NA,NA,"Chelsea","A"
19,"Jorge Cuenca","DEF","Fulham",5.8,0.804545454545455,0,5.3,1.05169143433161,0.804545454545455,44,0.6,0,39,"Thin Ice",54.1,"Meh",37.6,"Fade Captain",0.14,"0.3",22,1,NA,NA,"Crystal Palace","A"
19,"Ethan Ampadu","DEF","Leeds United",4.3,2.09090909090909,-0.3,8.3,1.07374728108528,2.09090909090909,27.7,0.6,0,39,"Thin Ice",71.1,"Leverage Gold",66.8,"Live Longshot",0.49,"0.3",22,5.6,NA,NA,"Liverpool","A"
19,"Jamaal Lascelles","DEF","Newcastle United",9.1,0.0318181818181818,0,0,0.6196953612359,0.0318181818181818,67.4,2.7,0,38.9,"Thin Ice",25.2,"Chalk Trap",18.2,"No",0,"0",22,0,NA,NA,"Burnley","A"
19,"Nathaniel Clyne","DEF","Crystal Palace",7.7,0.459090909090909,0,2,1.02954379595609,0.459090909090909,54.4,1.6,0,38.8,"Thin Ice",40.4,"Meh",32.2,"Fade Captain",0.06,"0.8",22,5,NA,NA,"Fulham","H"
19,"Charalambos Kostoulas","MID","Brighton",9.6,1.26363636363636,0,6.3,1.26669380609004,1.26363636363636,58.1,2.1,0,38.8,"Thin Ice",49.2,"Meh",64,"Live Longshot",0.13,"0",22,0,NA,NA,"West Ham","A"
19,"Ao Tanaka","MID","Leeds United",4.6,1.59545454545455,0,6.7,1.41976348112775,1.59545454545455,44.7,0.4,0,38.8,"Thin Ice",61.5,"Sneaky Good",62.4,"Live Longshot",0.35,"0.1",22,1,NA,NA,"Liverpool","A"
19,"Chemsdine Talbi","MID","Sunderland",5.6,2.2,0,6.3,1.34749919406199,2.2,42.9,0.4,0,38.8,"Thin Ice",59.8,"Sneaky Good",59.2,"Live Longshot",0.39,"0.1",22,0,NA,NA,"Manchester City","H"
19,"Hugo Ekitike","FOR","Liverpool",14.1,3.49090909090909,0,10.3,1.4113145870628,3.49090909090909,50,47.4,0,38.6,"Thin Ice",52.8,"Meh",75.5,"Top Captain",0.25,"34.7",22,3.4,NA,NA,"Leeds United","H"
19,"Andrey Santos","MID","Chelsea",8.8,0.804545454545455,0,2,1.08095311157397,0.804545454545455,66.8,2,0,38.5,"Thin Ice",46.1,"Meh",53.9,"Risky Captain",0.09,"0",22,1,NA,NA,"Bournemouth","H"
19,"Jair Cunha","DEF","Nottingham Forest",8.1,0.0318181818181818,0,0,1.02954379595609,0.0318181818181818,61.1,2.6,0,38.4,"Thin Ice",22.8,"Dead Money",16.1,"No",0,"0",22,0,NA,NA,"Everton","H"
19,"Zach Abbott","DEF","Nottingham Forest",8,0.0318181818181818,0,0,1.02954379595609,0.0318181818181818,61.1,1.6,0,38.4,"Thin Ice",25.2,"Chalk Trap",16.1,"No",0,"0",22,0,NA,NA,"Everton","H"
19,"Jorgen Larsen","FOR","Wolves",5.5,2,0,4.3,1.4294958491472,2,50,2,0,38.3,"Thin Ice",31,"Chalk Trap",40.3,"Risky Captain",0.36,"1.7",22,0,NA,NA,NA,NA
19,"Thierno Barry","FOR","Everton",7.2,1.97272727272727,0,6.3,1.63648001323414,1.97272727272727,50,0.5,0,38.2,"Thin Ice",56.1,"Sneaky Good",54.3,"Risky Captain",0.27,"0.4",22,6.3,NA,NA,"Nottingham Forest","A"
19,"Nick Woltemade","FOR","Newcastle United",12.1,3.39090909090909,0,6.7,1.35400516776303,3.39090909090909,50,14.9,0,38.2,"Thin Ice",46.9,"Meh",67.8,"Live Longshot",0.28,"10.9",22,1.3,NA,NA,"Burnley","A"
19,"Freddie Potts","MID","West Ham",5.4,1.34545454545455,0,3.3,1.30263893929213,1.34545454545455,49.7,0.7,0,38.1,"Thin Ice",50.6,"Meh",49.6,"Risky Captain",0.25,"0.6",22,3,NA,NA,"Brighton","H"
19,"Joshua King","MID","Fulham",5.9,1.49545454545455,0,3.3,1.4574232359977,1.49545454545455,46.5,1.1,0,38,"Thin Ice",46.7,"Meh",47.6,"Risky Captain",0.25,"1.5",22,0,NA,NA,"Crystal Palace","A"
19,"Justin Kluivert","MID","Bournemouth",6.2,1.59545454545455,0,6.3,1.28246986091101,1.59545454545455,48.5,1.2,0,37.7,"Thin Ice",57.2,"Sneaky Good",60.3,"Live Longshot",0.26,"0.3",22,7,NA,NA,"Chelsea","A"
19,"Oscar Bobb","MID","Manchester City",11.9,0.922727272727273,0,3.3,1.10948801561616,0.922727272727273,64.9,4.3,0,37.6,"Thin Ice",43.7,"Meh",56.8,"Live Longshot",0.08,"0",22,0,NA,NA,"Sunderland","A"
19,"Youri Tielemans","MID","Aston Villa",4.7,2.6,0,6.3,1.20846774217784,2.6,41.8,2,0,37.5,"Thin Ice",49.6,"Meh",60.9,"Live Longshot",0.55,"2.1",22,1.7,NA,NA,"Arsenal","A"
19,"Marcos Senesi","DEF","Bournemouth",5.1,2.34090909090909,-0.3,6.3,1.15779939853248,2.34090909090909,25.2,5.4,0,37.4,"Thin Ice",41.9,"Meh",49.2,"Risky Captain",0.46,"7.3",22,1,NA,NA,"Chelsea","A"
19,"El Hadji Diouf","DEF","West Ham",6.1,1.44090909090909,-0.3,6.3,1.13302864804947,1.44090909090909,35.3,2.9,0,37.4,"Thin Ice",44.4,"Meh",47.7,"Risky Captain",0.24,"3.2",22,0,NA,NA,"Brighton","H"
19,"Jorrel Hato","DEF","Chelsea",8.3,0.213636363636364,0,1.3,0.953165722734641,0.213636363636364,59.2,2.7,0,37.4,"Thin Ice",31.4,"Chalk Trap",28.3,"Fade Captain",0.03,"0",22,0,NA,NA,"Bournemouth","H"
19,"James Hill","DEF","Bournemouth",4.5,1.08636363636364,0,5,1.23115518709786,1.08636363636364,25.2,0.8,0,37.1,"Thin Ice",42.6,"Meh",31.5,"Fade Captain",0.24,"0.9",22,1,NA,NA,"Chelsea","A"
19,"James Milner","MID","Brighton",7,0.895454545454546,0,4,1.20031600467511,0.895454545454546,58.1,1.1,0,37,"Thin Ice",55.4,"Sneaky Good",56,"Live Longshot",0.13,"0.2",22,1,NA,NA,"West Ham","A"
