,,,,Offense,,,,,,,,,,,,,Defense,,,,,,,,Disciplinary,,,
Player,Team,Opp,Pos,MIN,G,A,S,SOG,CC,P,AP,CR,ACR,AW,DR,DSP,INT,TKL,TKLW,BLK,CL,CS,GC,SV,FS,FC,Y,R
Callum Hudson-Odoi,NFO,EVE,F/M,95.0,0.21,0.15,1.95,0.87,2.02,28.24,32.86,5.07,1.40,0.64,1.48,1.16,0.40,1.12,0.69,0.03,0.52,0.38,0.96,0.00,0.98,0.66,0.04,0.00
Nico O'Reilly,MCI,SUN,M/D,95.0,0.21,0.12,0.98,0.30,1.23,50.32,57.99,1.76,0.32,1.55,1.11,1.70,0.90,2.41,1.56,0.29,2.76,0.42,0.88,0.00,0.85,1.04,0.25,0.01
Yankuba Minteh,BHA,WHU,F,95.0,0.20,0.30,1.95,0.85,1.64,18.30,25.15,3.41,0.80,0.81,1.70,1.36,0.38,1.96,1.32,0.07,1.22,0.27,1.31,0.00,0.93,0.87,0.13,0.00
Bernardo Silva,MCI,SUN,M,95.0,0.20,0.09,1.72,0.48,1.61,54.46,62.35,2.56,0.59,0.57,0.87,1.11,0.65,2.54,1.37,0.26,1.22,0.42,0.88,0.00,0.95,1.23,0.14,0.00
Mohammed Kudus,TOT,BRE,F/M,95.0,0.20,0.08,2.22,0.80,1.26,22.16,26.98,2.47,0.47,0.48,1.69,1.78,0.30,1.14,0.70,0.01,0.66,0.22,1.50,0.00,1.58,1.33,0.16,0.02
Gabriel Martinelli,ARS,AVL,F/M,95.0,0.19,0.35,2.97,1.03,1.99,27.12,32.65,6.30,1.22,0.55,1.95,1.58,0.47,1.26,0.74,0.03,0.56,0.43,0.85,0.00,1.98,1.19,0.14,0.00
Harry Wilson,FUL,CRY,F/M,95.0,0.19,0.18,2.38,0.88,2.00,31.64,38.91,4.52,1.07,0.65,1.39,1.86,0.39,1.74,1.02,0.10,0.96,0.23,1.45,0.00,2.01,1.19,0.13,0.00
Alexis Mac Allister,LIV,LEE,M,95.0,0.19,0.17,1.06,0.37,1.36,45.02,51.82,2.26,0.63,0.79,0.84,0.88,1.73,3.04,1.89,0.57,1.33,0.38,0.99,0.00,1.38,1.94,0.31,0.00
Jorgen Strand Larsen,WOL,MUN,F,95.0,0.18,0.26,2.49,1.09,1.62,20.76,28.61,0.64,0.20,3.67,1.30,2.89,0.57,0.76,0.51,0.18,1.55,0.09,2.27,0.00,1.53,2.45,0.35,0.00
Emiliano Buendia,AVL,ARS,F/M,95.0,0.18,0.15,2.71,0.91,1.66,39.99,48.26,2.39,0.44,0.84,2.19,2.38,0.62,2.44,1.55,0.26,0.64,0.12,2.06,0.00,2.77,1.91,0.16,0.01
Antoine Semenyo,BOU,CHE,F/M,95.0,0.18,0.13,2.30,0.83,1.17,19.79,25.30,2.05,0.38,1.28,1.41,1.67,0.27,1.34,0.80,0.17,1.12,0.10,2.23,0.00,1.36,1.55,0.17,0.00
